setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qaBsS,298.15,1474,0.35,0.00027751,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,298.15,2828,0.562,0.00019969,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,298.15,4516,0.709,0.00014704,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,1439,0.257,0.00032116,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,3371,0.489,0.00023466,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,6891,0.696,0.0001569,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,8581,0.752,0.00013536,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,10917,0.8,0.00011448,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,13030,0.814,0.00010856,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,323.15,14596,0.819,0.00010714,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,343.15,2003,0.302,0.00030887,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,343.15,3941,0.475,0.00024281,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
qaBsS,343.15,6242,0.587,0.00020174,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,
