setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mwRsY,273,100,0.2,1439,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,278,100,0.2,1435,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,283,100,0.2,1430,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,288,100,0.2,1426,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,293,100,0.2,1421,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,298,100,0.2,1416,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,303,100,0.2,1412,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,308,100,0.2,1407,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,313,100,0.2,1403,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
mwRsY,318,100,0.2,1399,Yamamoto et al. (2020b),Density,Liquid,ABTfSv,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C,1-butyl-1-methylpyrrolidinium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,AAteDk,FS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],lithium (fluorosulfonyl)((trifluoromethyl)sulfonyl)amide,,,
