setid,"Temperature, K","MolaLity of benzyltrihexylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dTKUX,298.15,0.08668,101,1001.7,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,298.15,0.10452,101,1004,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,298.15,0.15665,101,1006.3,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,298.15,0.20889,101,1010.6,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.02285,101,995,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.03224,101,995.5,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.0419,101,995.9,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.06268,101,996.8,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.08668,101,997.8,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.10452,101,998.6,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.15665,101,1000.8,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.20889,101,1002.9,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
dTKUX,308.15,0.3148,101,1007.1,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABglFE,CCCCCC[N+](CCCCCC)(CCCCCC)Cc1ccccc1.[Br-],benzyltrihexylammonium bromide,,,
