setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium salicylate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tBdah,0.0978,0.0984,298.15,87,1001,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.1496,298.15,87,1004.08,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.1999,298.15,87,1005.67,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.2497,298.15,87,1007.23,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.3001,298.15,87,1008.76,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.3496,298.15,87,1010.32,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.3988,298.15,87,1011.84,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.0978,0.4367,298.15,87,1013.35,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.0994,298.15,87,1005.45,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
tBdah,0.1977,0.1474,298.15,87,1008.52,Shekaari et al. (2019a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
