setid,"Temperature, K","MolaLity of N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZrFoU,293.15,0.01941,101,999.32,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.02869,101,999.79,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.03876,101,1000.28,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.0489,101,1000.77,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.0587,101,1001.24,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.0688,101,1001.72,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.0792,101,1002.21,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.0894,101,1002.69,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,293.15,0.1,101,1003.19,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.01941,101,998.13,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.02869,101,998.59,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.03876,101,999.08,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
ZrFoU,298.15,0.0489,101,999.56,Zhang et al. (2021b),Density,Liquid,ABstOI,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1,N-dodecylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
