setid,"MolaLity of salnaph, mol/kg","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XJtUN,0,0,85.9,298.15,944.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0,0.01786,85.9,298.15,955.8,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0,0.0264,85.9,298.15,946,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0,0.3128,85.9,298.15,963.8,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0293,0.01786,85.9,298.15,958.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0299,0.0264,85.9,298.15,948.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0301,0,85.9,298.15,947,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0304,0.3128,85.9,298.15,966.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0488,0.01786,85.9,298.15,960.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0493,0.0264,85.9,298.15,950.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0498,0,85.9,298.15,948.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0503,0.3128,85.9,298.15,968.3,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.069,0.3128,85.9,298.15,970,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0694,0.01786,85.9,298.15,962.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0702,0.0264,85.9,298.15,952.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0717,0,85.9,298.15,951,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0824,0.01786,85.9,298.15,963.3,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0844,0.0264,85.9,298.15,954,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0893,0,85.9,298.15,952.6,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.0898,0.3128,85.9,298.15,971.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1093,0,85.9,298.15,954.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1095,0.0264,85.9,298.15,956.4,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1105,0.3128,85.9,298.15,973.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1109,0.01786,85.9,298.15,965.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1291,0.3128,85.9,298.15,975.4,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1295,0.0264,85.9,298.15,958.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1302,0,85.9,298.15,956.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1322,0.01786,85.9,298.15,967.8,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.149,0,85.9,298.15,958.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1491,0.3128,85.9,298.15,977.1,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1492,0.0264,85.9,298.15,960,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1501,0.01786,85.9,298.15,969.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1673,0,85.9,298.15,959.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1695,0.3128,85.9,298.15,979,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1705,0.01786,85.9,298.15,971.3,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1716,0.0264,85.9,298.15,962,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1876,0,85.9,298.15,961.7,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1882,0.0264,85.9,298.15,963.5,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1911,0.3128,85.9,298.15,980.9,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
XJtUN,0.1924,0.01786,85.9,298.15,973.2,Elhami-Kalvanagh et al. (2013),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABSYBG,Oc1ccccc1/C=N/c1cccc2cccc(/N=C/c3ccccc3O)c12,salnaph,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
