setid,"Temperature, K","Solvent: MolaLity of 1-cetylpyridinium salicylate, mol/kg","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sZcWv,293.15,0.01,0,101,998.4,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.01512,101,998.8,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.02951,101,999.2,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.04393,101,999.6,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.05925,101,1000,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.07458,101,1000.4,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.08882,101,1000.8,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.10328,101,1001.2,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.11823,101,1001.5,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
sZcWv,293.15,0.01,0.1336,101,1001.9,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
