setid,"Temperature, K","Solvent: MolaLity of 1-cetylpyridinium salicylate, mol/kg","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IOYMO,293.15,0.005,0,101,998.32,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.03892,101,1000.52,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.05895,101,1001.64,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.07796,101,1002.7,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.09693,101,1003.75,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.11721,101,1004.87,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.13802,101,1006.02,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.157,101,1007.06,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.17798,101,1008.19,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,293.15,0.005,0.19926,101,1009.34,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0,101,997.15,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.03892,101,999.33,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.05895,101,1000.44,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.07796,101,1001.49,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.09693,101,1002.53,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.11721,101,1003.64,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.13802,101,1004.77,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.157,101,1005.8,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.17798,101,1006.93,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,298.15,0.005,0.19926,101,1008.07,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0,101,995.75,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.03892,101,997.91,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.05895,101,999.01,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.07796,101,1000.06,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.09693,101,1001.09,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.11721,101,1002.2,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.13802,101,1003.32,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.157,101,1004.35,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.17798,101,1005.47,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,303.15,0.005,0.19926,101,1006.6,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0,101,994.13,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0.03892,101,996.28,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0.07796,101,998.41,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0.09693,101,999.44,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0.11721,101,1000.54,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0.13802,101,1001.66,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
IOYMO,308.15,0.005,0.157,101,1002.68,Yan et al. (2021b),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
