setid,"MolaLity of 1-hexylpyridinium nitrate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aEUlu,0.1015,101,298.15,783.78,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.2027,101,298.15,790.05,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.3058,101,298.15,796.08,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.4001,101,298.15,801.32,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.5026,101,298.15,806.85,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.6047,101,298.15,812.23,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.7053,101,298.15,817.42,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.8052,101,298.15,822.34,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.9002,101,298.15,827.01,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
aEUlu,0.9983,101,298.15,831.59,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAHueB,CC#N,acetonitrile,,,
