setid,"Temperature, K","MolaLity of disodium ceftriaxone, mol/kg",Solvent: Weight fraction of 1-hexyl-4-methylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HgEXm,288.15,0,0,100,999.094,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0,0.01,100,1000.9,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0,0.015,100,1001.79,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0,0.02,100,1002.56,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0.0187,0.01,100,1006.25,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0.0194,0,100,1004.57,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0.0474,0.015,100,1015.2,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0.0474,0.02,100,1015.99,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0.0476,0.01,100,1014.34,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
HgEXm,288.15,0.0485,0,100,1012.63,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water
