setid,"Solvent: MolaLity of N-methyl-2-oxopyrrolidinium formate, mol/kg","Temperature, K","MolaLity of D-xylose, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yvbzl,0,288.15,0.05973,100,1002.39,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,288.15,0.06763,100,1002.82,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,288.15,0.09347,100,1004.22,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,288.15,0.13761,100,1006.58,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,288.15,0.15007,100,1007.24,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,288.15,0.16984,100,1008.28,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,288.15,0.1873,100,1009.21,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.05973,100,1000.28,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.06763,100,1000.71,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.09347,100,1002.09,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.13761,100,1004.43,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.15007,100,1005.09,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.16984,100,1006.12,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,298.15,0.1873,100,1007.03,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.05973,100,997.274,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.06763,100,997.695,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.09347,100,999.067,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.13761,100,1001.39,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.15007,100,1002.04,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.16984,100,1003.07,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,308.15,0.1873,100,1003.97,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,318.15,0.05973,100,993.436,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,318.15,0.06763,100,993.851,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
yvbzl,0,318.15,0.09347,100,995.213,Singh et al. (2016b),Density,Liquid,AActJI,OC1OC[C@@H](O)[C@H](O)[C@H]1O,D-xylose,AADYJk,O,water,AAbvBq,C[N+]=1CCCC1O.O=C[O-],N-methyl-2-oxopyrrolidinium formate
