setid,"Temperature, K",Mole fraction of 1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bwZjx,293.15,0,100,974.6,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.0251,100,1002.4,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.0556,100,1033.3,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.1001,100,1072.7,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.1506,100,1112.1,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.2,100,1146.5,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.2973,100,1202.1,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.349,100,1226.8,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.4,100,1248.5,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
bwZjx,293.15,0.4998,100,1285.5,Papovic et al. (2020),Density,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,AAWlFo,CCOC(=O)OCC,diethyl carbonate,,,
