setid,"Temperature, K","Pressure, kPa","MolaLity of carbon dioxide, mol/kg","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EFyIN,303.15,233.6,0.159,0.0002163,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,303.15,712,0.502,0.0002044,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,303.15,1209.3,0.858,0.0001937,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,303.15,1706.3,1.236,0.0001836,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,303.15,2180.4,1.637,0.0001742,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,303.15,2663.3,2.038,0.000166,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,303.15,3188,2.481,0.000158,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,244.1,0.135,0.0002188,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,713.2,0.418,0.0002088,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,1212.5,0.709,0.0001997,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,1722.9,1.029,0.0001907,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,2194.4,1.3,0.0001831,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,2669.6,1.632,0.0001761,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,313.15,3135.3,1.944,0.0001696,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,323.15,239.4,0.11,0.0002213,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
EFyIN,323.15,707.7,0.345,0.0002129,Jalili et al. (2017),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
