setid,"Temperature, K","MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZKxlb,288.15,0.0409,87.1,794.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,288.15,0.0587,87.1,795,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,288.15,0.0936,87.1,795.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,288.15,0.1154,87.1,796.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,288.15,0.154,87.1,797.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,288.15,0.181,87.1,798.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,298.15,0.0409,87.1,786.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,298.15,0.0587,87.1,786.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,298.15,0.0936,87.1,787.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,298.15,0.1154,87.1,788.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,298.15,0.154,87.1,789.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,298.15,0.181,87.1,790,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,308.15,0.0409,87.1,777.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,308.15,0.0587,87.1,777.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,308.15,0.0936,87.1,778.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,308.15,0.1154,87.1,779.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,308.15,0.154,87.1,780.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,308.15,0.181,87.1,781,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,318.15,0.0409,87.1,769,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,318.15,0.0587,87.1,769.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,318.15,0.0936,87.1,770.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,318.15,0.1154,87.1,770.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,318.15,0.154,87.1,771.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
ZKxlb,318.15,0.181,87.1,772.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AAIsrh,CCO,ethanol,,,
