setid,"Temperature, K",Mole fraction of dimethyl sulfoxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nigdc,293.15,0,100,1101.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.053,100,1102.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.103,100,1103,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.196,100,1103.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.301,100,1104.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.401,100,1105.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.501,100,1106.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.6,100,1107.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.686,100,1107.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.802,100,1107.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,0.899,100,1105.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,293.15,1,100,1100.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nigdc,303.15,0,100,1095.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
