setid,"Mole fraction of 1,3-dimethylbenzene","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QkwfI,0,101,283.15,1503.1,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.0511,101,283.15,1489.08,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.0972,101,283.15,1476.12,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.2,101,283.15,1443.99,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.3014,101,283.15,1408.21,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.4038,101,283.15,1365.04,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.4441,101,283.15,1346.73,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.4999,101,283.15,1319.9,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.5239,101,283.15,1307.39,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.5446,101,283.15,1295.44,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,0.5784,101,283.15,1276.73,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
QkwfI,1,101,283.15,872.69,Gonzalez et al. (2015c),Density,Liquid,AAUVDI,Cc1cccc(C)c1,"1,3-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
