setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium salicylate, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mGFtm,0.0999,0.0997,298.15,87,1001.04,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.149,298.15,87,1003.85,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.1997,298.15,87,1005.23,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.2484,298.15,87,1006.63,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.295,298.15,87,1007.98,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.3457,298.15,87,1009.25,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.3975,298.15,87,1010.64,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.0999,0.449,298.15,87,1012.04,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.1041,298.15,87,1005.5,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.1495,298.15,87,1008.38,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.2287,298.15,87,1009.64,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.2509,298.15,87,1011.83,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
mGFtm,0.1989,0.303,298.15,87,1012.43,Shekaari et al. (2019a),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,ABGbJt,CCCCCC[n+]1ccn(C)c1.O=C([O-])c1ccccc1O,1-hexyl-3-methylimidazolium salicylate,AADYJk,O,water
