setid,"Temperature, K","MolaLity of disodium ceftriaxone, mol/kg",Solvent: Weight fraction of 1-butyl-4-methylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YCRGp,288.15,0,0,100,999.094,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0,0.01,100,1001.16,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0,0.015,100,1002.26,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0,0.02,100,1003.42,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.0194,0,100,1004.57,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.0469,0.01,100,1014.46,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.047,0.015,100,1015.6,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.0485,0,100,1012.63,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.0764,0.02,100,1024.82,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.0765,0.01,100,1022.54,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.0773,0,100,1020.43,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1072,0.01,100,1030.71,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1078,0.02,100,1033.2,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1081,0.015,100,1032.06,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1389,0.02,100,1041.23,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1392,0,100,1036.63,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1402,0.01,100,1039.25,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1707,0.015,100,1048.06,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1722,0.02,100,1049.64,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1731,0.01,100,1047.56,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.1737,0,100,1045.35,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.2166,0,100,1055.85,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.2167,0.015,100,1059.34,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.218,0.02,100,1060.84,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.2182,0.01,100,1058.57,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.2633,0.02,100,1071.47,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.2658,0,100,1067.51,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.267,0.015,100,1071.14,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.2671,0.01,100,1070.05,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.3047,0.015,100,1079.7,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.3049,0.02,100,1080.96,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
YCRGp,288.15,0.306,0,100,1076.75,Mehrdad and Ghorbanipour (2019),Density,Liquid,ACLFYK,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],disodium ceftriaxone,AAsNVj,CCCC[n+]1ccc(C)cc1.[Br-],1-butyl-4-methylpyridinium bromide,AADYJk,O,water
