setid,"Temperature, K","Solvent: MolaLity of 1-cetylpyridinium salicylate, mol/kg","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bnirZ,293.15,0.01,0,101,998.39,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.01943,101,998.87,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.02936,101,999.11,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.03902,101,999.35,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.04861,101,999.58,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.0587,101,999.82,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.06866,101,1000.06,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.07831,101,1000.29,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.08828,101,1000.53,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
bnirZ,293.15,0.01,0.09888,101,1000.78,Yan et al. (2021b),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
