setid,"Pressure, kPa","Mole fraction of 1,1,1,2-tetrafluoroethane","Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Rvywy,84,0.0397,343.15,0.0003358,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,212,0.1086,343.15,0.0003159,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,395,0.1956,343.15,0.0002928,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,615,0.2904,343.15,0.0002669,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,971,0.4272,343.15,0.0002313,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,1320,0.5508,343.15,0.0001984,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,1732,0.6867,343.15,0.0001653,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,1956,0.777,343.15,0.0001436,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,2016,0.8075,343.15,0.0001367,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,2064,0.8427,343.15,0.0001289,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
Rvywy,2075,0.8572,343.15,0.0001265,Ahosseini et al. (2017),Density,Liquid,AATgYC,FCC(F)(F)F,"1,1,1,2-tetrafluoroethane",ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
