setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JGdYm,293.15,0.0739,100,1058.11,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.1269,100,1073.66,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.1729,100,1085.89,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.2139,100,1095.82,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.2617,100,1106.41,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.3126,100,1116.64,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.3675,100,1126.68,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.4065,100,1133.2,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.4522,100,1140.28,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.5012,100,1147.26,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.5535,100,1154.09,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.6043,100,1160.16,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.6528,100,1165.5,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.6952,100,1169.84,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.7414,100,1174.24,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.7959,100,1179.03,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.8346,100,1182.21,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.8829,100,1185.91,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
JGdYm,293.15,0.9368,100,1189.76,Darolia et al. (2021),Density,Liquid,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
