setid,"Temperature, K","Mole fraction of N,N-dimethylaniline","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VZOwo,288.15,0,100,1307,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.1,100,1278.8,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.2,100,1259.8,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.2998,100,1240.8,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.397,100,1218.3,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.5045,100,1188,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.5996,100,1156.5,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.6997,100,1118.5,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.7994,100,1074.4,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,0.8945,100,1024.8,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,288.15,1,100,960.6,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0,100,1303.1,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.1,100,1274.7,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.2,100,1255.8,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.2998,100,1236.8,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.397,100,1214.3,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.5045,100,1183.9,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.5996,100,1152.5,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.6997,100,1114.4,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.7994,100,1070.3,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,0.8945,100,1020.7,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
VZOwo,293.15,1,100,956.5,Soldatovic et al. (2017),Density,Liquid,AAXPga,CN(C)c1ccccc1,"N,N-dimethylaniline",ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
