setid,"Solvent: MolaLity of tetradecylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
afIsz,0.01,293.15,0,101,998.53,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.0205,101,999.69,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.05934,101,1001.87,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.07934,101,1002.98,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.09889,101,1004.06,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.11868,101,1005.15,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.13835,101,1006.23,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.15824,101,1007.31,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.17801,101,1008.38,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
afIsz,0.01,293.15,0.20005,101,1009.57,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
