setid,"Solvent: MolaLity of cetylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZmZQM,0.01,293.15,0,101,998.46,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.07927,101,1001.03,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.09846,101,1001.64,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.11821,101,1002.26,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.1379,101,1002.88,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.15744,101,1003.49,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.17775,101,1004.12,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,293.15,0.19842,101,1004.75,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0,101,997.28,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.03938,101,998.5,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.05953,101,999.19,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.07927,101,999.82,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.09846,101,1000.42,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.11821,101,1001.04,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.1379,101,1001.65,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.15744,101,1002.26,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.17775,101,1002.88,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,298.15,0.19842,101,1003.51,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0,101,995.88,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.05953,101,997.77,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.07927,101,998.39,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.09846,101,998.99,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.1379,101,1000.22,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.15744,101,1000.82,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.17775,101,1001.45,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,303.15,0.19842,101,1002.08,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0,101,994.26,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.07927,101,996.74,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.09846,101,997.34,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.11821,101,997.95,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.1379,101,998.56,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.15744,101,999.16,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.17775,101,999.79,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.01,308.15,0.19842,101,1000.42,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0,101,998.65,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.05932,101,1000.58,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.0794,101,1001.22,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.09931,101,1001.85,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.1188,101,1002.47,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.13973,101,1003.13,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.15885,101,1003.73,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.1795,101,1004.37,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,293.15,0.19999,101,1005,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0,101,997.44,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.0198,101,998.08,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.0401,101,998.73,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.0794,101,999.98,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.09931,101,1000.61,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.1188,101,1001.22,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.13973,101,1001.88,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.15885,101,1002.48,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.1795,101,1003.12,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,298.15,0.19999,101,1003.75,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0,101,996.02,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
ZmZQM,0.03,303.15,0.0198,101,996.65,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
