setid,Mole fraction of 3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aZRIK,0,293.15,101.3,1102.3,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0,303.15,101.3,1092.3,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0,313.15,101.3,1082.4,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0,323.15,101.3,1072.5,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.0989,293.15,101.3,1199.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.0989,303.15,101.3,1195.9,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.0989,313.15,101.3,1186.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.0989,323.15,101.3,1177.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.1981,293.15,101.3,1261.8,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
aZRIK,0.1981,303.15,101.3,1257,Raj et al. (2021),Density,Liquid,ABnLOR,CCOCC[n+]1ccn(CCC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-cyanoethyl)-1-(2-ethoxyethyl)imidazolium bis(trifluoromethanesulfonyl)amide,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
