setid,"Temperature, K","MolaLity of warfarin sodium, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wjQXI,293.15,0.00573,101,998.701,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.00689,101,998.801,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.00749,101,998.852,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.00851,101,998.94,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.00983,101,999.054,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.02401,101,1000.27,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.0466,101,1002.19,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.0718,101,1004.26,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.0984,101,1006.41,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.1251,101,1008.51,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.15,101,1010.43,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.176,101,1012.59,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.2,101,1014.56,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.225,101,1016.71,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.25,101,1018.89,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.275,101,1020.99,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.3,101,1023.15,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.325,101,1025.24,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.35,101,1027.33,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.375,101,1029.29,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,293.15,0.401,101,1031.3,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.00579,101,996.134,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.00695,101,996.231,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.00754,101,996.281,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.00857,101,996.367,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.00987,101,996.476,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.024,101,997.658,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.0465,101,999.515,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.0715,101,1001.52,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.0983,101,1003.59,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
wjQXI,303.15,0.125,101,1005.62,Cheema et al. (2007),Density,Liquid,ABLbdB,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[Na+],warfarin sodium,AADYJk,O,water,,,
