setid,"Solvent: MolaLity of cetylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bsQsy,0.01,293.15,0,101,998.46,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.0395,101,1000.69,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.05852,101,1001.76,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.07887,101,1002.89,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.09843,101,1003.97,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.1177,101,1005.03,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.13781,101,1006.13,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.15771,101,1007.22,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.1776,101,1008.29,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,293.15,0.19879,101,1009.45,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0,101,997.27,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.0395,101,999.48,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.05852,101,1000.54,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.07887,101,1001.66,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.1177,101,1003.79,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.13781,101,1004.88,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.15771,101,1005.96,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.1776,101,1007.03,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,298.15,0.19879,101,1008.16,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,303.15,0,101,995.87,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
bsQsy,0.01,303.15,0.0395,101,998.06,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water
