setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kjqNp,592.4,0.13,298.15,0.000197,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,674.6,0.084,333.15,0.0002096,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,696.2,0.116,313.15,0.0002015,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1052.3,0.213,298.15,0.0001817,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1089.9,0.128,333.15,0.0002011,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1173.9,0.183,313.15,0.0001891,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1496.9,0.282,298.15,0.0001691,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1500.7,0.223,313.15,0.0001816,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1522.8,0.171,333.15,0.0001931,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1737.7,0.19,333.15,0.0001894,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1824.7,0.326,298.15,0.000161,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,1939.8,0.273,313.15,0.0001725,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,2395.5,0.244,333.15,0.0001792,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,2530.6,0.406,298.15,0.0001462,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,2566.9,0.334,313.15,0.000161,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,2714.6,0.269,333.15,0.0001746,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
kjqNp,3022.4,0.454,298.15,0.0001375,Makino et al. (2013b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABHjYO,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
