setid,"MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EndEi,0.0201,101,298.15,945.2,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.0409,101,298.15,946.55,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.0618,101,298.15,947.88,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.0853,101,298.15,949.36,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.1009,101,298.15,950.32,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.1186,101,298.15,951.39,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.1433,101,298.15,952.9,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.161,101,298.15,953.93,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.1798,101,298.15,955.02,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
EndEi,0.205,101,298.15,956.48,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
