setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of piperazine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jhQdh,313.15,0.2316,0.0502,101,1046.7,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.2341,0.0508,101,1035.1,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.2347,0.0509,101,1028.5,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.2385,0.0517,101,1015.5,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.4589,0.0498,101,1057.3,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.4634,0.0503,101,1046.5,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.4703,0.051,101,1030.4,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.4711,0.0511,101,1030,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,313.15,0.4741,0.0514,101,1022.3,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
jhQdh,333.15,0.2316,0.0502,101,1027,Foo et al. (2015),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAQdRr,C1CNCCN1,piperazine,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
