setid,Mole fraction of ethylammonium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TlTWA,0,101,298.15,786.69,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.10425,101,298.15,890.02,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.19691,101,298.15,956.8,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.29902,101,298.15,1014.08,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.40419,101,298.15,1061.13,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.50421,101,298.15,1097.45,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.60445,101,298.15,1127.73,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.69737,101,298.15,1151.19,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.80209,101,298.15,1174.26,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,0.90903,101,298.15,1194.2,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
TlTWA,1,101,298.15,1209.23,Russina et al. (2015),Density,Liquid,AAGIBL,CO,methanol,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
