setid,"Temperature, K",Mole fraction of tetrabutylphosphonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DWDVN,313.15,0.249,101,999.1,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,313.15,0.4982,101,968,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,323.15,0.249,101,993.1,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,323.15,0.4982,101,962.1,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,333.15,0.249,101,987.2,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,333.15,0.4982,101,956.3,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,333.15,1,101,916.4,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,343.15,0.249,101,981.3,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,343.15,0.4982,101,950.5,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,343.15,1,101,910.4,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,353.15,0.249,101,975.5,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,353.15,0.4982,101,944.7,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
DWDVN,353.15,1,101,904.5,Otero et al. (2017),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,ABJMTG,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,tetrabutylphosphonium acetate,,,
