setid,"MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ChXAp,0.0268,101,298.15,945.94,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.0444,101,298.15,947.2,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.0628,101,298.15,948.49,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.0851,101,298.15,950.04,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.103,101,298.15,951.26,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.1256,101,298.15,952.76,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.1396,101,298.15,953.7,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.1656,101,298.15,955.41,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.1826,101,298.15,956.49,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
ChXAp,0.2057,101,298.15,957.93,Shekaari et al. (2011),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide,,,
