setid,"Temperature, K","Solvent: MolaLity of 1-cetylpyridinium salicylate, mol/kg","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cVGyb,293.15,0.005,0,101,998.33,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.02896,101,999.12,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.04215,101,999.47,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.0575,101,999.88,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.07245,101,1000.28,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.08631,101,1000.65,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.1014,101,1001.04,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.11503,101,1001.4,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.12985,101,1001.79,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,293.15,0.005,0.14583,101,1002.2,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0,101,997.16,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.02896,101,997.94,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.04215,101,998.29,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.0575,101,998.7,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.07245,101,999.09,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.08631,101,999.46,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.1014,101,999.85,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.11503,101,1000.21,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.12985,101,1000.59,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,298.15,0.005,0.14583,101,1001.01,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0,101,995.75,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.0575,101,997.27,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.07245,101,997.66,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.08631,101,998.02,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.1014,101,998.41,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.11503,101,998.76,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.12985,101,999.14,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,303.15,0.005,0.14583,101,999.54,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0,101,994.13,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.0575,101,995.64,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.07245,101,996.03,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.08631,101,996.39,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.1014,101,996.78,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.11503,101,997.13,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.12985,101,997.51,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
cVGyb,308.15,0.005,0.14583,101,997.92,Yan et al. (2021b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
