setid,"Temperature, K","MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uxlPu,288.15,0.0299,101.3,790.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,288.15,0.0594,101.3,791.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,288.15,0.088,101.3,792.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,288.15,0.1165,101.3,793.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,288.15,0.1444,101.3,793.9,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,288.15,0.1829,101.3,795.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,298.15,0.0299,101.3,785.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,298.15,0.0594,101.3,786.5,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,298.15,0.088,101.3,787.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,298.15,0.1165,101.3,788.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,298.15,0.1444,101.3,789.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,298.15,0.1829,101.3,790.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,308.15,0.0299,101.3,773.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,308.15,0.0594,101.3,774.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,308.15,0.088,101.3,775.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,308.15,0.1165,101.3,776.3,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,308.15,0.1444,101.3,777.1,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,308.15,0.1829,101.3,778.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,318.15,0.0299,101.3,764.2,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,318.15,0.0594,101.3,765,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,318.15,0.088,101.3,765.8,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,318.15,0.1165,101.3,766.7,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,318.15,0.1444,101.3,767.4,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
uxlPu,318.15,0.1829,101.3,768.6,Momeni and Shekaari (2022),Density,Liquid,AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AALcwx,CC(C)O,propan-2-ol,,,
