setid,"Temperature, K","Solvent: MolaLity of 1-cetylpyridinium salicylate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FXPcC,293.15,0.005,0,101,998.33,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.03822,101,999.58,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.05595,101,1000.15,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.07581,101,1000.79,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.09472,101,1001.39,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.11536,101,1002.05,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.1331,101,1002.62,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.15174,101,1003.2,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.17105,101,1003.81,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,293.15,0.005,0.19241,101,1004.47,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0,101,997.16,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.05595,101,998.96,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.07581,101,999.59,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.09472,101,1000.19,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.11536,101,1000.84,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.1331,101,1001.39,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.15174,101,1001.97,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.17105,101,1002.57,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,298.15,0.005,0.19241,101,1003.23,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
FXPcC,303.15,0.005,0,101,995.75,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
