setid,"MolaLity of 1-hexylpyridinium nitrate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oxVVz,0.1016,101,298.15,791.63,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.204,101,298.15,797.58,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.3013,101,298.15,802.95,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.4055,101,298.15,808.47,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.5044,101,298.15,813.45,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.6,101,298.15,817.92,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.7071,101,298.15,823.04,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.8001,101,298.15,826.65,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,0.9029,101,298.15,830.97,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
oxVVz,1,101,298.15,834.53,Mohammadi et al. (2021),Density,Liquid,AAraWc,CCCCCC[n+]1ccccc1.O=[N+]([O-])[O-],1-hexylpyridinium nitrate,AAIsrh,CCO,ethanol,,,
