setid,"Temperature, K",Mole fraction of diethanolamine,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nWIlG,293.15,0,81.5,1102.8,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,293.15,0.2,81.5,1100.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,293.15,0.4,81.5,1097.2,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,293.15,0.6,81.5,1094.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,293.15,0.8,81.5,1094.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,293.15,1,81.5,1096.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,303.15,0,81.5,1096.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,303.15,0.2,81.5,1094.2,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,303.15,0.4,81.5,1091.1,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,303.15,0.6,81.5,1088.6,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,303.15,0.8,81.5,1088.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,303.15,1,81.5,1090,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,313.15,0,81.5,1090.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,313.15,0.2,81.5,1088,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,313.15,0.4,81.5,1085,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,313.15,0.6,81.5,1082.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,313.15,0.8,81.5,1082.2,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,313.15,1,81.5,1083.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,323.15,0,81.5,1084.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,323.15,0.2,81.5,1081.9,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,323.15,0.4,81.5,1079,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,323.15,0.6,81.5,1076.5,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,323.15,0.8,81.5,1076,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,323.15,1,81.5,1076.9,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,333.15,0,81.5,1078.4,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,333.15,0.2,81.5,1075.9,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
nWIlG,333.15,0.4,81.5,1073,Shojaeian et al. (2021),Density,Liquid,AAULmj,OCCNCCO,diethanolamine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
