setid,"Solvent: MolaLity of tetradecylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qgCRY,0.01,293.15,0,101,998.54,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.02944,101,999.34,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.04466,101,999.75,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.05942,101,1000.14,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.07441,101,1000.54,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.08945,101,1000.93,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.10415,101,1001.31,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.11906,101,1001.7,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.13464,101,1002.1,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,293.15,0.15004,101,1002.49,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0,101,997.34,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0.01481,101,997.74,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0.04466,101,998.54,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0.05942,101,998.93,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0.08945,101,999.72,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0.10415,101,1000.1,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
qgCRY,0.01,298.15,0.11906,101,1000.49,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water
