setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pEMFN,278.15,0,101.3,821.77,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.00498,101.3,822.08,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.01105,101.3,822.47,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.02056,101.3,822.92,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.03052,101.3,823.31,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.04024,101.3,823.61,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.0517,101.3,823.9,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.06107,101.3,824.08,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.0753,101.3,824.26,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,278.15,0.10085,101.3,824.36,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0,101.3,816.61,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.00498,101.3,816.93,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.01105,101.3,817.34,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.02056,101.3,817.79,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.03052,101.3,818.19,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.04024,101.3,818.5,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.0517,101.3,818.79,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.06107,101.3,818.97,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.0753,101.3,819.15,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,283.15,0.10085,101.3,819.23,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0,101.3,811.4,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.00498,101.3,811.75,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.01105,101.3,812.11,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.02056,101.3,812.58,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.03052,101.3,812.96,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.04024,101.3,813.26,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.0517,101.3,813.53,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.06107,101.3,813.68,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.0753,101.3,813.82,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,288.15,0.10085,101.3,813.82,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0,101.3,806.2,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.00498,101.3,806.57,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.01105,101.3,806.94,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.02056,101.3,807.42,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.03052,101.3,807.82,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.04024,101.3,808.14,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.0517,101.3,808.42,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.06107,101.3,808.59,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.0753,101.3,808.74,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,293.15,0.10085,101.3,808.78,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0,101.3,800.98,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0.00498,101.3,801.34,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0.01105,101.3,801.71,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0.02056,101.3,802.21,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0.03052,101.3,802.62,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0.04024,101.3,802.95,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
pEMFN,298.15,0.0517,101.3,803.24,Tomas et al. (2023),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AANtck,CCC(C)=O,butanone,,,
