setid,Mole fraction of sodium bis(fluorosulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AnHVo,0.3,283,101,1520,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,293,101,1510,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,303,101,1500,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,313,101,1490,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,323,101,1480,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,333,101,1470,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,343,101,1460,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.3,353,101,1460,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,283,101,1570,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
AnHVo,0.4,293,101,1560,Yang et al. (2019f),Density,Liquid,AAnDam,O=S(=O)(F)[N-]S(=O)(=O)F.[Na+],sodium bis(fluorosulfonyl)amide,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,
