setid,"Solvent: MolaLity of cetylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HOhHH,0.01,293.15,0,101,998.47,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.04075,101,999.67,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.07993,101,1000.81,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.09925,101,1001.36,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.11917,101,1001.92,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.13939,101,1002.49,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.15932,101,1003.05,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.17957,101,1003.6,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,293.15,0.20026,101,1004.17,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
HOhHH,0.01,298.15,0,101,997.29,Lv et al. (2023),Density,Liquid,ABjgyO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1,cetylpyridinium DL-mandelate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
