setid,Mole fraction of dichloromethane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tRbKJ,0,101,298.15,1182.2,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.1,101,298.15,1187.8,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.1923,101,298.15,1193.8,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.2841,101,298.15,1200.7,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.3884,101,298.15,1211.3,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.4878,101,298.15,1223.1,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.5882,101,298.15,1236.7,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.6897,101,298.15,1253,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.756,101,298.15,1264.5,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
tRbKJ,0.8395,101,298.15,1284.6,Li et al. (2007c),Density,Liquid,AAQRGv,ClCCl,dichloromethane,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
