setid,"Temperature, K",Mole fraction of tributylmethylphosphonium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yomGI,293.15,0,100,949,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.0474,100,968.3,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.0765,100,978.3,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.1106,100,988.3,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.1508,100,996.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.1991,100,1004.1,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.2582,100,1011.5,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.3321,100,1018.8,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.4272,100,1026.7,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.5542,100,1036.5,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.6717,100,1044.2,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.7768,100,1050,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.8253,100,1052.7,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.8837,100,1056.1,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,0.9362,100,1058.8,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,293.15,1,100,1061.7,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0,100,944.5,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.0474,100,964.9,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.0765,100,975.2,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.1106,100,984.7,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.1508,100,993.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.1991,100,1000.9,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.2582,100,1008.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.3321,100,1016.2,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.4272,100,1024.1,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.5542,100,1034,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.6717,100,1041.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.7768,100,1047.7,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.8253,100,1050.2,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.8837,100,1053.3,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,0.9362,100,1055.9,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,298.15,1,100,1058.7,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0,100,940,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.0474,100,961.8,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.0765,100,972.1,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.1106,100,981.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.1508,100,991,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.1991,100,999.1,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.2582,100,1006.3,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.3321,100,1013.9,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.4272,100,1021.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.5542,100,1031.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.6717,100,1038.9,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.7768,100,1044.9,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
yomGI,303.15,0.8253,100,1047.6,Umapathi et al. (2019),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AAOCWD,CN(C)C=O,dimethylformamide,,,
