setid,"Temperature, K","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lHwot,298.15,0.0001542,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,298.15,0.0001545,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,303.15,0.0001549,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,313.15,0.0001556,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,313.15,0.0001558,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,323.15,0.0001566,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,323.15,0.0001568,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,333.15,0.0001576,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,333.15,0.0001577,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,343.15,0.0001587,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,353.15,0.0001596,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
lHwot,353.15,0.0001598,Jalili et al. (2019),Density,Liquid,Gas,,12,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,
