setid,"Temperature, K",Mole fraction of triethylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yHhMt,298.15,0,101,1025.9,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.0138,101,1026.09,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.0302,101,1026.34,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.0813,101,1026.88,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.117,101,1026.93,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.1733,101,1026.39,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.2751,101,1023.97,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.3189,101,1022.57,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.3865,101,1019.96,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.5133,101,1015.18,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.6561,101,1010.89,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.8181,101,1009.29,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.926,101,1011.5,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,0.9642,101,1012.97,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,298.15,1,101,1015.86,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0,101,1023.74,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
yHhMt,303.15,0.0138,101,1024.21,Kavitha et al. (2012a),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAfApq,CC(=O)[O-].CC[NH+](CC)CC,triethylammonium acetate,,,
