setid,"Temperature, K","Solvent: MolaLity of 1-cetylpyridinium salicylate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CiRGu,293.15,0.01,0,101,998.4,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.03932,101,999.68,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.05905,101,1000.32,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.07944,101,1000.97,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.09889,101,1001.59,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.11952,101,1002.25,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.14006,101,1002.9,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.15989,101,1003.52,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.17657,101,1004.04,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,293.15,0.01,0.20006,101,1004.78,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,298.15,0.01,0,101,997.21,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,298.15,0.01,0.05905,101,999.11,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,298.15,0.01,0.07944,101,999.75,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
CiRGu,298.15,0.01,0.09889,101,1000.37,Yan et al. (2021b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABgwPX,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=C([O-])c1ccccc1O,1-cetylpyridinium salicylate,AADYJk,O,water
