setid,"Temperature, K","MolaLity of 1,3-dimethylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
STlPk,278.15,0,101.3,821.77,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.00556,101.3,822.27,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.01077,101.3,822.66,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.02016,101.3,823.14,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.03078,101.3,823.47,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.04187,101.3,823.35,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.05048,101.3,823.28,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.06027,101.3,823.29,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.0749,101.3,822.69,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,278.15,0.1005,101.3,821.06,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0,101.3,816.61,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.00556,101.3,817.12,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.01077,101.3,817.52,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.02016,101.3,818.01,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.03078,101.3,818.33,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.04187,101.3,818.2,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.05048,101.3,818.13,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.06027,101.3,818.22,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.0749,101.3,817.48,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
STlPk,283.15,0.1005,101.3,815.77,Tomas et al. (2023),Density,Liquid,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",AANtck,CCC(C)=O,butanone,,,
