setid,Mole fraction of benzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ifYSb,0,101,283.15,1385.92,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.0442,101,283.15,1380.03,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.1025,101,283.15,1371.99,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.1963,101,283.15,1357.59,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.299,101,283.15,1338.39,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.3675,101,283.15,1323.36,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.3905,101,283.15,1318.03,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.3989,101,283.15,1315.9,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.5962,101,283.15,1253.56,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
ifYSb,0.6486,101,283.15,1230.46,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
