setid,"Solvent: MolaLity of tetradecylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fIHrV,0.01,293.15,0,101,998.62,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.06069,101,1000.59,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.0798,101,1001.2,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.09991,101,1001.84,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.11962,101,1002.46,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.13999,101,1003.1,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.15963,101,1003.71,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.17952,101,1004.33,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,293.15,0.19996,101,1004.96,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
fIHrV,0.01,298.15,0,101,997.45,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water
