setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of N-methylpyrrolidone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UgoBG,293.15,0.1581,0.7668,100,1101.6,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.1723,0.7418,100,1107.4,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.1951,0.7071,100,1116.4,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.2237,0.6551,100,1127.4,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.2461,0.6179,100,1135.7,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.2731,0.5871,100,1145.4,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.2954,0.5572,100,1153,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.3111,0.5348,100,1158.2,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.3363,0.4927,100,1166.1,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
UgoBG,293.15,0.3625,0.4656,100,1174,Sharma et al. (2015a),Density,Liquid,AAQJPN,O=C1CCCC1,cyclopentanone,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
