setid,"MolaLity of 1-hexyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RzRmC,0.051,101,323.15,763.8,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.102,101,323.15,768.55,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.152,101,323.15,773.15,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.204,101,323.15,777.8,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.252,101,323.15,782.08,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.301,101,323.15,786.21,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.355,101,323.15,790.72,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.404,101,323.15,794.75,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.455,101,323.15,798.81,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.504,101,323.15,802.65,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.606,101,323.15,810.57,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.709,101,323.15,818.13,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.802,101,323.15,824.81,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,0.908,101,323.15,831.9,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
RzRmC,1.012,101,323.15,838.62,Gonzalez et al. (2014a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
