setid,"Temperature, K","MolaLity of 2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride, mol/kg","Solvent: MolaLity of choline lactate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gxdTJ,288.15,0.031,0.2,85,1005.79,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.0313,0.3,85,1008.59,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.0593,0.1,85,1004.77,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.0609,0.3,85,1009.68,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.0611,0.2,85,1006.9,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.09,0.3,85,1010.74,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.0906,0.2,85,1007.98,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.0919,0.1,85,1006.1,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.1158,0.3,85,1011.68,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
gxdTJ,288.15,0.1208,0.2,85,1009.08,Behboudi et al. (2021),Density,Liquid,ABEGoR,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,"2-diphenylmethoxy-N,N-dimethylethanamine hydrochloride",AAlIDA,CC(O)C(=O)[O-].C[N+](C)(C)CCO,choline lactate,AADYJk,O,water
