setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XkeTc,298.15,0,100,1124.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.0512,100,1190,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.0995,100,1240.9,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.1551,100,1289.7,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.2007,100,1323.8,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.2991,100,1383.3,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.4002,100,1430.4,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.4998,100,1467.1,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.6127,100,1500.5,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.7009,100,1522,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
XkeTc,298.15,0.8002,100,1542.6,Papovic et al. (2018),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABUcyg,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
