setid,"Solvent: MolaLity of tetradecylpyridinium DL-mandelate, mol/kg","Temperature, K","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XpOxC,0.01,293.15,0,101,998.53,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.02979,101,999.26,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.03964,101,999.5,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.04943,101,999.73,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.05953,101,999.97,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.06942,101,1000.2,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.0892,101,1000.65,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,293.15,0.09996,101,1000.89,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0,101,997.34,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.02979,101,998.06,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.03964,101,998.29,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.04943,101,998.52,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.05953,101,998.76,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.06942,101,998.99,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.0892,101,999.44,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,298.15,0.09996,101,999.68,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0,101,995.95,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.01962,101,996.42,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.02979,101,996.66,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.03964,101,996.89,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.04943,101,997.12,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.05953,101,997.35,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.06942,101,997.58,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.0892,101,998.03,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,303.15,0.09996,101,998.27,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0,101,994.34,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0.03964,101,995.25,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0.04943,101,995.47,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0.05953,101,995.69,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0.06942,101,995.91,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0.07196,101,995.96,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
XpOxC,0.01,308.15,0.0892,101,996.34,Lv et al. (2023),Density,Liquid,ABeMeO,C(C(O)C1=CC=CC=C1)(=O)[O-].C(CCCCCCCCCCCCC)[N+]1=CC=CC=C1,tetradecylpyridinium DL-mandelate,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AADYJk,O,water
