setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-arginine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YWjLb,298.15,0.025,0,101,998.38,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.025,0.0195,101,999.32,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.025,0.0469,101,1000.61,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.025,0.0627,101,1001.36,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.025,0.104,101,1003.21,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.025,0.1576,101,1005.66,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.025,0.2108,101,1007.97,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0,101,999.96,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0.0205,101,1000.94,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0.0403,101,1001.87,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0.0589,101,1002.73,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0.1043,101,1004.82,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0.1549,101,1007.08,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,298.15,0.055,0.1825,101,1008.24,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0,101,995.33,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0.0195,101,996.27,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0.0469,101,997.56,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0.0627,101,998.3,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0.104,101,1000.16,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0.1576,101,1002.51,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.025,0.2108,101,1004.84,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0,101,996.89,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0.0205,101,997.87,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0.0403,101,998.8,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0.0589,101,999.67,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0.1043,101,1001.73,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0.1549,101,1003.92,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
YWjLb,308.15,0.055,0.1825,101,1005.12,Fang and Ren (2013),Density,Liquid,AAhaWw,NC(N)=NCCC[C@H](N)C(=O)O,L-arginine,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
