setid,"Temperature, K","MolaLity of benzyltributylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dFLEo,298.15,0.156825,101,1004.5,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,298.15,0.2093,101,1006.9,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.021668,101,995.1,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.031604,101,995.5,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.042218,101,996,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.063367,101,997,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.085766,101,998.1,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.104831,101,998.9,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.125527,101,999.9,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.156825,101,1001.3,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
dFLEo,308.15,0.2093,101,1003.7,Tutaj et al. (2001),Density,Liquid,AADYJk,O,water,ABQbbL,CCCC[N+](CCCC)(CCCC)Cc1ccccc1.[Br-],benzyltributylammonium bromide,,,
