setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HKqRd,288.15,0.01,100,998.9,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,288.15,0.04,100,999.3,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,288.15,0.07,100,999.9,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,298.15,0.01,100,996.9,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,298.15,0.04,100,997.3,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,298.15,0.07,100,997.8,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,308.15,0.01,100,994.1,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,308.15,0.04,100,994,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,308.15,0.07,100,994.6,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,318.15,0.01,100,989.8,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,318.15,0.04,100,990.2,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
HKqRd,318.15,0.07,100,990.7,Singh et al. (2023a),Density,Liquid,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,AADYJk,O,water,,,
