setid,"Temperature, K",Mole fraction of propylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ivNKe,293.15,0.0952,100,1031.1,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.2014,100,1028.9,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.2925,100,1026.24,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.3999,100,1022.78,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.4937,100,1019.62,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.5795,100,1016.55,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.6979,100,1011.52,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.8047,100,1006.87,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.8953,100,1002.52,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,0.9506,100,999.55,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,293.15,1,100,996.1,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.0952,100,1026.85,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.2014,100,1024.81,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.2925,100,1022.33,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.3999,100,1018.93,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.4937,100,1015.98,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.5795,100,1012.99,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.6979,100,1008.24,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.8047,100,1003.86,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.8953,100,999.53,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,0.9506,100,996.72,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,298.15,1,100,993.4,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.0952,100,1022.43,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.2014,100,1020.66,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.2925,100,1018.33,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.3999,100,1015.22,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.4937,100,1012.45,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.5795,100,1009.61,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.6979,100,1005.07,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.8047,100,1000.74,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.8953,100,996.65,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,0.9506,100,993.9,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,303.15,1,100,990.8,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.0952,100,1018.21,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.2014,100,1016.54,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.2925,100,1014.45,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.3999,100,1011.5,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.4937,100,1008.9,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.5795,100,1006.23,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.6979,100,1001.91,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
ivNKe,308.15,0.8047,100,997.8,Chhotaray et al. (2016),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
