setid,"MolaLity of carbon dioxide, mol/kg","Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TUDWK,0.08,343.15,265.6,0.0003057,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.085,333.15,251.2,0.0003026,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.091,323.15,228.4,0.0002994,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.107,313.15,229.5,0.0002953,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.122,303.15,215.3,0.0002914,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.172,343.15,569,0.0002957,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.232,323.15,575.8,0.0002846,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.237,333.15,684.6,0.0002866,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.254,313.15,537.5,0.0002802,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
TUDWK,0.258,303.15,451,0.0002775,Jalili et al. (2022),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
