setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XdrZc,298.15,1004,0.236,1360,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,2030,0.403,1354,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,2493,0.484,1343,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,3003,0.531,1345,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,3496,0.577,1336,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,3999,0.614,1324,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,4496,0.653,1308,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,4998,0.683,1299,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,5521,0.716,1294,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,5995,0.738,1281,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,298.15,6387,0.751,1263,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,1005,0.179,1346,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,2021,0.315,1332,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,2513,0.366,1315,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,2996,0.416,1323,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,4039,0.515,1311,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,6032,0.632,1301,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,7998,0.72,1291,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,318.15,9884,0.783,1345,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,1001,0.118,1307,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,2028,0.264,1315,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,2537,0.293,1311,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,3030,0.346,1310,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,4022,0.443,1313,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,5027,0.508,1311,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,6014,0.561,1307,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
XdrZc,338.15,7501,0.637,1310,Turnaoglu et al. (2019a),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABigFi,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,,,
