setid,Solvent: Weight fraction of acetonitrile,"MolaRity of tetrapropylammonium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UarDB,0.5,0.05,101,303.15,889.5,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.7,0.005,101,303.15,837.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.7,0.01,101,303.15,836.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.7,0.02,101,303.15,835,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.7,0.03,101,303.15,833.1,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.7,0.04,101,303.15,831.2,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.7,0.05,101,303.15,829.4,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.9,0.005,101,303.15,792.8,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.9,0.01,101,303.15,793,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.9,0.02,101,303.15,793.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.9,0.03,101,303.15,793.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.9,0.04,101,303.15,794.1,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,0.9,0.05,101,303.15,794.4,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,1,0.005,101,303.15,771.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,1,0.01,101,303.15,772.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,1,0.02,101,303.15,773.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,1,0.03,101,303.15,774.4,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,1,0.04,101,303.15,775.5,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
UarDB,1,0.05,101,303.15,776.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,AADYJk,O,water
