setid,"Mole fraction of 2,4,6-trimethylpyridinium formate","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XEuPU,0,101.3,298.15,995,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.012,101.3,298.15,1004,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.026,101.3,298.15,1018,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.044,101.3,298.15,1030,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.067,101.3,298.15,1043,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.097,101.3,298.15,1057,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.14,101.3,298.15,1064,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.2,101.3,298.15,1067,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.3,101.3,298.15,1064,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,0.49,101.3,298.15,1050,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
XEuPU,1,101.3,298.15,1021,Anouti et al. (2009),Density,Liquid,AADYJk,O,water,AAgINl,Cc1cc(C)[nH+]c(C)c1.O=C[O-],"2,4,6-trimethylpyridinium formate",,,
