setid,"Mole fraction of N,N-diethylethanolammonium hydrogen diacetate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FHbSL,0,328.15,101,1140.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,333.15,101,1137.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,338.15,101,1134.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,343.15,101,1130.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,348.15,101,1127.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,353.15,101,1124.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,358.15,101,1121.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,363.15,101,1118,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,368.15,101,1114.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0,373.15,101,1111.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,278.15,101,1162.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,283.15,101,1158.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,288.15,101,1155.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,293.15,101,1151.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,298.15,101,1148.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,303.15,101,1144.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,308.15,101,1141.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,313.15,101,1138.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,318.15,101,1134.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,323.15,101,1131.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,328.15,101,1127.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,333.15,101,1124.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,338.15,101,1121.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,343.15,101,1118.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,348.15,101,1114.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,353.15,101,1111.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,358.15,101,1108.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,363.15,101,1104.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,368.15,101,1101.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.0748,373.15,101,1098.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,278.15,101,1127.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,283.15,101,1123.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,288.15,101,1119.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,293.15,101,1115.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,298.15,101,1111.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,303.15,101,1107.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,308.15,101,1103.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,313.15,101,1100.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,318.15,101,1096.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,323.15,101,1092.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,328.15,101,1088.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,333.15,101,1085.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,338.15,101,1081.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,343.15,101,1077.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,348.15,101,1073.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,353.15,101,1070.1,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,358.15,101,1066.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,363.15,101,1062.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,368.15,101,1058.9,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.3316,373.15,101,1055.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,278.15,101,1118.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,283.15,101,1114.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,288.15,101,1110.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,293.15,101,1106.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,298.15,101,1102.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,303.15,101,1098.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,308.15,101,1094.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,313.15,101,1090.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,318.15,101,1086.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,323.15,101,1083,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,328.15,101,1079.2,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,333.15,101,1075.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,338.15,101,1071.3,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,343.15,101,1067.4,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,348.15,101,1063.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,353.15,101,1059.5,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,358.15,101,1055.6,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,363.15,101,1051.7,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FHbSL,0.4263,368.15,101,1047.8,Martins et al. (2020),Density,Liquid,AAtgwj,CC(=O)O.CC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen diacetate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
